date,daily_return,normalized_equity,drawdown,daily_realized_pnl_usdc,daily_commission_usdc,daily_funding_fee_usdc,daily_net_pnl_usdc,daily_trade_count
2026-07-01,,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-02,,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-03,,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-04,-0.0000913365,0.9999086635,-0.0000913365,-0.0379000000,-0.0752274800,0.0035751400,-0.1095523400,3.0000000000
2026-07-05,0.0001673707,1.0000760189,0.0000000000,0.2000000000,0.0000000000,0.0007322600,0.2007322600,1.0000000000
2026-07-06,0.0001667322,1.0002427638,0.0000000000,0.2000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000
2026-07-07,0.0000000000,1.0002427638,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-08,0.0003334088,1.0005762536,0.0000000000,0.4000000000,0.0000000000,0.0000000000,0.4000000000,2.0000000000
2026-07-09,0.0000000000,1.0005762536,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-10,0.0000000000,1.0005762536,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-11,0.0000000000,1.0005762536,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-12,0.0000000000,1.0005762536,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2026-07-13,0.0006138922,1.0011904995,0.0000000000,2.7658000000,0.0000000000,-0.0032064600,2.7625935400,31.0000000000
2026-07-14,0.0010784260,1.0022702094,0.0000000000,4.7272999500,0.0000000000,0.1287345100,4.8560344600,40.0000000000
2026-07-15,0.0008623269,1.0031344939,0.0000000000,3.9193999200,0.0000000000,-0.0322484500,3.8871514700,37.0000000000
2026-07-16,0.0013034468,1.0044420263,0.0000000000,5.9103999000,0.0000000000,-0.0297251500,5.8806747500,56.0000000000
2026-07-17,0.0014725232,1.0059210905,0.0000000000,6.7026999800,0.0000000000,-0.0505548000,6.6521451800,52.0000000000
2026-07-18,0.0003600634,1.0062832859,0.0000000000,1.2344999600,0.0000000000,0.3944871100,1.6289870700,17.0000000000
2026-07-19,0.0004935038,1.0067798905,0.0000000000,1.6813999700,0.0000000000,0.5520972900,2.2334972600,19.0000000000
2026-07-20,0.0026047815,1.0094023321,0.0000000000,11.1771998900,0.0000000000,0.6173272700,11.7945271600,60.0000000000
2026-07-21,0.0014580021,1.0108740428,0.0000000000,6.3619999700,0.0000000000,0.2570726200,6.6190725900,45.0000000000
2026-07-22,0.0011220111,1.0120082547,0.0000000000,5.1523999700,0.0000000000,-0.0512405600,5.1011594100,48.0000000000
2026-07-23,0.0012232294,1.0132461730,0.0000000000,5.6076999500,0.0000000000,-0.0401171700,5.5675827800,50.0000000000
2026-07-24,0.0007283550,1.0139841760,0.0000000000,3.5019999300,0.0000000000,-0.1828046700,3.3191952600,34.0000000000
2026-07-25,0.0001033522,1.0140889735,0.0000000000,0.8000999900,0.0000000000,-0.3287693400,0.4713306500,8.0000000000
2026-07-26,0.0010946272,1.0151990228,0.0000000000,5.0409000000,0.0000000000,-0.0484124700,4.9924875300,14.0000000000
2026-07-27,0.0018421203,1.0170691416,0.0000000000,7.8637999100,0.0000000000,0.5471274500,8.4109273600,42.0000000000
2026-07-28,0.0011035421,1.0181915201,0.0000000000,5.0114999800,0.0000000000,0.0364386500,5.0479386300,37.0000000000
2026-07-29,0.0017438620,1.0199671057,0.0000000000,7.9558998800,0.0000000000,0.0298610000,7.9857608800,66.0000000000
2026-07-30,0.0012070354,1.0211982421,0.0000000000,5.6030999500,0.0000000000,-0.0660190800,5.5370808700,40.0000000000
2026-07-31,0.0024096851,1.0236590083,0.0000000000,11.2798999800,0.0000000000,-0.2125139800,11.0673860000,48.0000000000
2026-08-01,0.0004532100,1.0241229408,0.0000000000,2.1013999900,0.0000000000,-0.0148464900,2.0865535000,18.0000000000
2026-08-02,0.0008888864,1.0250332698,0.0000000000,3.9534999600,0.0000000000,0.1407379200,4.0942378800,26.0000000000
2026-08-03,0.0014877380,1.0265582507,0.0000000000,6.7593999800,0.0000000000,0.0992574000,6.8586573800,39.0000000000
2026-08-04,0.0002866550,1.0268525187,0.0000000000,1.3506999900,0.0000000000,-0.0272187700,1.3234812200,10.0000000000
